FID,ponto,id_bem,identificacao_bem,co_iphan,no_logradouro,nu_logradouro,id_natureza,ds_natureza,codigo_iphan,id_classificacao,ds_classificacao,id_tipo_bem,ds_tipo_bem,sg_tipo_bem,sintese_bem,dt_cadastro
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_240,POINT (-49.480233513847175 -28.873728616851512),2520,Casa para empregado,SC4210407BIED00008,Ferroviária,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Casa para empregado, localizado(a) no estado de Santa Catarina, cidade(s) de Maracajá, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-24
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_248,POINT (-49.48030459238466 -28.873813567164245),2519,Casa para empregado,SC4210407BIED00007,Ferroviária,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Casa para empregado, localizado(a) no estado de Santa Catarina, cidade(s) de Maracajá, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-24
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_249,POINT (-41.507321593397776 -21.988381411197494),1402,Estação Ferroviária de Dores de Macabu,RJ3301009BIED00009,Cel. Ponciano de Azevedo Furtado,47,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação Ferroviária de Dores de Macabu, localizado(a) no estado de Rio de Janeiro, cidade(s) de Campos dos Goytacazes, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_24a,POINT (-36.37173042387974 -9.370701433895977),2619,Conjunto Ferroviário da Esplanada,AL2706604BIED00001,Monsenhor Clovis Duarte de Barros,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Conjunto Ferroviário da Esplanada , localizado(a) no estado de Alagoas, cidade(s) de Paulo Jacinto, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-05-23
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_24b,POINT (-41.44789993488153 -21.27001816689744),1417,Estação Ferroviária de Santa Maria,RJ3301009BIED00010,Cel. Ponciano de Azevedo Furtado,47,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação Ferroviária de Santa Maria, localizado(a) no estado de Rio de Janeiro, cidade(s) de Campos dos Goytacazes, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_253,POINT (-43.91223265248018 -22.929457075260842),1422,Estação Ferroviária de Itacuruçá,RJ3302601BIED00002,Santana,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação Ferroviária de Itacuruçá, localizado(a) no estado de Rio de Janeiro, cidade(s) de Mangaratiba, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_254,POINT (-47.7431971556185 -19.74262098692352),2529,"Edificação em alvenaria com área construída de 103,85 m²",MG3170107BIED00006,Sem Nome,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Edificação em alvenaria com área construída de 103,85 m², localizado(a) no estado de Minas Gerais, cidade(s) de Uberaba, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-25
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_255,POINT (-47.7433259016503 -19.742923932334403),2528,"Edificação em alvenaria com área construída de 103,85 m²",MG3170107BIED00005,Sem Nome,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Edificação em alvenaria com área construída de 103,85 m², localizado(a) no estado de Minas Gerais, cidade(s) de Uberaba, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-25
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_256,POINT (-47.7428109175195 -19.74336825123274),2527,"Edificação em alvenaria com área construída de 9,88 m² - abrigo para trole",MG3170107BIED00004,Sem Nome,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Edificação em alvenaria com área construída de 9,88 m² - abrigo para trole, localizado(a) no estado de Minas Gerais, cidade(s) de Uberaba, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-25
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_257,POINT (-43.76977065546154 -21.225155829828577),1459,Estação Ferroviária de Barbacena,MG3105608BIED00005,Adriano de Oliveira,1931,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação Ferroviária de Barbacena, localizado(a) no estado de Minas Gerais, cidade(s) de Barbacena, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
